index,i,j,k,mean,std,skew,kurtosis,exceed_3sigma,bc
0,0,0,0,-0.0030938265845179558,0.0002926790330093354,5.086140155792236,35.850650787353516,0.0167,0.7494654059410095
1,0,0,1,-0.0030968908686190844,0.0003105345240328461,2.8519654273986816,48.22299575805664,0.0176,0.1894056349992752
2,0,0,2,-0.003105605486780405,0.00037011734093539417,-0.4542383849620819,58.94491195678711,0.0211,0.020465420559048653
3,0,0,3,-0.0031261886470019817,0.0004954522009938955,-2.1677772998809814,49.547340393066406,0.0284,0.11502652615308762
4,0,0,4,-0.0031420232262462378,0.0005780229694209993,-2.5170669555664062,42.23531723022461,0.0328,0.17368464171886444
5,0,0,5,-0.0031305437441915274,0.0005031154141761363,-2.3566250801086426,45.2873420715332,0.03,0.14471332728862762
6,0,0,6,-0.0031047859229147434,0.00036486255703493953,-0.018406618386507034,54.41403579711914,0.0211,0.01838383823633194
7,0,0,7,-0.003097164910286665,0.0003244538966100663,1.8182158470153809,63.955657958984375,0.0177,0.06732647866010666
8,0,0,8,-0.0030938999261707067,0.0002928127069026232,5.074462413787842,35.82222366333008,0.0167,0.7467478513717651
9,0,1,0,-0.0030973521061241627,0.00031829444924369454,1.6615746021270752,62.46928024291992,0.0176,0.06020287424325943
10,0,1,1,-0.0031209129374474287,0.0004425759834703058,-2.1011433601379395,49.44908142089844,0.0264,0.10950261354446411
11,0,1,2,-0.003205100307241082,0.0008694318239577115,-1.175525188446045,23.10884666442871,0.033,0.10307131707668304
12,0,1,3,-0.003285427577793598,0.00142809993121773,0.3557896614074707,11.049845695495605,0.0335,0.10195493698120117
13,0,1,4,-0.003302615834400058,0.0016557051567360759,0.5856465101242065,9.195025444030762,0.028,0.14605525135993958
14,0,1,5,-0.0032861751969903708,0.0014251713873818517,0.36929017305374146,11.381033897399902,0.0358,0.09984815120697021
15,0,1,6,-0.0032035072799772024,0.0008923023124225438,-0.9170107245445251,21.854991912841797,0.0347,0.0842328667640686
16,0,1,7,-0.0031216253992170095,0.00047493266174569726,-2.8204545974731445,54.15220642089844,0.026,0.1653665453195572
17,0,1,8,-0.003095530439168215,0.0003116572042927146,3.321840286254883,52.676937103271484,0.0174,0.22846095263957977
18,0,2,0,-0.003105312818661332,0.0003692293248604983,-1.2131431102752686,66.98784637451172,0.0206,0.03689797967672348
19,0,2,1,-0.003214355558156967,0.0008917911909520626,-1.3169487714767456,21.57528305053711,0.0363,0.12673549354076385
20,0,2,2,-0.003228843677788973,0.0018735767807811499,0.8260989189147949,7.432082176208496,0.0244,0.2263752520084381
21,0,2,3,-0.0026661136653274298,0.0028249442111700773,0.8264209032058716,3.787235975265503,0.0047,0.44437989592552185
22,0,2,4,-0.002181507647037506,0.003134027123451233,0.6249080300331116,2.9411747455596924,0.0021,0.4727737009525299
23,0,2,5,-0.002654035808518529,0.002829677425324917,0.8059604167938232,3.7574868202209473,0.0046,0.439009428024292
24,0,2,6,-0.0032584613654762506,0.001913525746203959,0.8666773438453674,7.528857231140137,0.023,0.23258903622627258
25,0,2,7,-0.003195596393197775,0.0009079843293875456,-0.6668848395347595,23.67784309387207,0.0344,0.06101634353399277
26,0,2,8,-0.0031062900088727474,0.0003777742385864258,-0.8880035877227783,61.01890563964844,0.0211,0.029311412945389748
27,0,3,0,-0.003124070120975375,0.0004717937554232776,-2.6862123012542725,52.022911071777344,0.0274,0.15792535245418549
28,0,3,1,-0.0033007157035171986,0.0013655746588483453,0.18230080604553223,11.614679336547852,0.034,0.08895929157733917
29,0,3,2,-0.002730031032115221,0.0028110388666391373,0.8020628690719604,3.796388626098633,0.005,0.43286001682281494
30,0,3,3,-0.0007595980423502624,0.0034988063853234053,0.15699224174022675,2.182969331741333,0.0004,0.46938201785087585
31,0,3,4,0.0002075268712360412,0.0034886214416474104,-0.14714577794075012,2.215606689453125,0.0,0.46111607551574707
32,0,3,5,-0.0006869643111713231,0.0034907162189483643,0.14457929134368896,2.1454532146453857,0.0001,0.47584500908851624
33,0,3,6,-0.00265655480325222,0.002832098165526986,0.8431708216667175,3.856276512145996,0.0059,0.4436759054660797
34,0,3,7,-0.0033078426495194435,0.0014365470269694924,0.2911863327026367,11.283853530883789,0.0324,0.09613644331693649
35,0,3,8,-0.0031144251115620136,0.00044972504838369787,-1.4717416763305664,55.145137786865234,0.0264,0.057412561029195786
36,0,4,0,-0.0031346480827778578,0.0005224652704782784,-2.291207790374756,45.09423065185547,0.0311,0.13859052956104279
37,0,4,1,-0.0033248222898691893,0.001598196686245501,0.3908402621746063,9.08790111541748,0.0255,0.12684513628482819
38,0,4,2,-0.002225031377747655,0.003094926243647933,0.6529707908630371,3.0442023277282715,0.0024,0.46855324506759644
39,0,4,3,0.0001525232510175556,0.003494896460324526,-0.13457107543945312,2.23681378364563,0.0,0.455160528421402
40,0,4,4,0.0012267883867025375,0.0032589398324489594,-0.3923015296459198,2.650233030319214,0.0001,0.43539586663246155
41,0,4,5,0.00022093024745117873,0.003493622876703739,-0.16197790205478668,2.2325148582458496,0.0001,0.459677517414093
42,0,4,6,-0.002169762970879674,0.0031393859535455704,0.662528395652771,3.0120162963867188,0.0026,0.47773441672325134
43,0,4,7,-0.003315866459161043,0.0016213193302974105,0.6555107831954956,9.70017147064209,0.0259,0.14738857746124268
44,0,4,8,-0.0031286044977605343,0.0005202991887927055,-2.599616289138794,48.39659118652344,0.0295,0.16030064225196838
45,0,5,0,-0.003121694317087531,0.0004574367485474795,-2.4739115238189697,53.00293731689453,0.0271,0.1343366801738739
46,0,5,1,-0.0033022407442331314,0.0013942316872999072,0.014344514347612858,10.81454849243164,0.0347,0.09248705953359604
47,0,5,2,-0.0026659586001187563,0.0028176407795399427,0.8400187492370605,3.7814440727233887,0.0053,0.4510529339313507
48,0,5,3,-0.0007674754597246647,0.003506242297589779,0.16140013933181763,2.166538715362549,0.0,0.4735894799232483
