channel,mean,std,skew,kurtosis,exceed_3sigma,bc
0,-1.482634425163269,1.2596770524978638,-0.07951332628726959,1.3265167474746704,0.0,0.7586202025413513
1,-0.5324512124061584,1.059303879737854,0.056128308176994324,1.4727439880371094,0.0,0.6811437606811523
2,0.7100653052330017,1.1833735704421997,-0.5090973973274231,1.9887970685958862,4.951989103574306e-05,0.6331365704536438
3,-0.03430546447634697,0.6078752875328064,-0.4302332103252411,2.213679790496826,0.0006775034125894308,0.5353531837463379
4,0.7378354668617249,0.5772839188575745,-1.6000337600708008,5.1505656242370605,0.01672990433871746,0.6912071704864502
5,0.5236966609954834,0.653435230255127,0.7576623558998108,2.338970899581909,0.00012441701255738735,0.6729679107666016
6,0.17830397188663483,0.4095313847064972,-0.8049973249435425,3.7691047191619873,0.006974759977310896,0.43724462389945984
7,0.26079273223876953,0.9317918419837952,0.43862515687942505,1.7573055028915405,0.0,0.6785342693328857
8,0.41379669308662415,0.5280678272247314,-0.34622594714164734,4.22690486907959,0.007996021769940853,0.2649391293525696
9,-0.2543640434741974,0.45937490463256836,0.7195135354995728,2.5284736156463623,0.0025039780884981155,0.6002434492111206
10,1.8548243045806885,0.9494848251342773,-0.18518584966659546,2.8852949142456055,7.873799768276513e-05,0.35847073793411255
11,-0.3095284700393677,0.5393761992454529,-1.0684521198272705,3.26961612701416,0.003904938232153654,0.6549973487854004
12,-0.26038411259651184,0.6295491456985474,-0.5382453799247742,3.0614798069000244,0.0015021947911009192,0.4212695360183716
13,0.3132414221763611,1.177548885345459,0.6366890668869019,1.8814539909362793,0.0,0.7469611167907715
14,-0.06073211133480072,0.37555333971977234,0.3306441009044647,5.126281261444092,0.013945542275905609,0.2163996547460556
15,0.18507879972457886,0.6356177926063538,1.758866786956787,8.0189847946167,0.02515857294201851,0.5104901194572449
16,-0.5229138731956482,0.9183847308158875,0.396485298871994,1.9694604873657227,0.00034993141889572144,0.5875723958015442
17,-0.3450373113155365,0.6644287109375,0.624434232711792,3.3283772468566895,0.0041943760588765144,0.41759631037712097
18,0.7363476157188416,0.8816112875938416,-0.3687467873096466,1.8554210662841797,0.00010973936878144741,0.612246036529541
19,-0.01397597137838602,0.7041468024253845,0.1844826489686966,3.7086541652679443,0.005076268687844276,0.27881649136543274
