sample_idx,mse,magnitude_mse,psnr,magnitude_psnr,max_val,max_magnitude,n_points,n_atoms
0,0.0026038982905447483,0.002573098288848996,25.815263748168945,25.89539909362793,0.9967244863510132,0.9999958872795105,500,54
1,0.003014638787135482,0.004088205751031637,25.16965103149414,23.884521484375,0.9956348538398743,0.9999824166297913,500,54
2,0.003883195109665394,0.005635410081595182,24.096731185913086,22.49066925048828,0.9986911416053772,0.9999911189079285,500,46
3,0.002879232168197632,0.004012185614556074,25.40171241760254,23.96613121032715,0.9993645548820496,0.9999932646751404,500,52
4,0.003604499390348792,0.005422941409051418,24.411375045776367,22.65746307373047,0.9976798295974731,0.9999783039093018,500,42
5,0.0026006600819528103,0.003653524676337838,25.83348846435547,24.37284278869629,0.9981970191001892,0.9999956488609314,500,47
6,0.004390433430671692,0.006908872164785862,23.546457290649414,21.605924606323242,0.996727705001831,0.9999996423721313,500,37
7,0.00446518138051033,0.007287535350769758,23.501073837280273,21.374191284179688,0.9999385476112366,0.9999999403953552,500,40
8,0.0027486018370836973,0.0030882474966347218,25.57956886291504,25.10287094116211,0.9966310262680054,0.9999989867210388,500,55
9,0.004730523098260164,0.008141616359353065,23.227937698364258,20.892860412597656,0.997359037399292,0.9999959468841553,500,36
10,0.0024920469149947166,0.0023438807111233473,26.0081787109375,26.300636291503906,0.996981143951416,0.9999992251396179,500,57
11,0.003593364730477333,0.004776066169142723,24.426467895507812,23.20929718017578,0.9978700876235962,0.9999999403953552,500,53
12,0.0054329498670995235,0.009444338269531727,22.625904083251953,20.24827766418457,0.9972706437110901,0.9999993443489075,500,33
13,0.001999247120693326,0.002432052046060562,26.96163558959961,26.14016342163086,0.9965864419937134,0.9999876022338867,500,63
14,0.006026518531143665,0.011317884549498558,22.180246353149414,19.462339401245117,0.9978048205375671,0.9999991655349731,500,30
15,0.0026575725059956312,0.0030949250794947147,25.752439498901367,25.093496322631836,0.9996881484985352,0.9999997615814209,500,52
16,0.002877739490941167,0.0037407123018056154,25.402158737182617,24.270444869995117,0.9991565942764282,0.9999987483024597,500,57
17,0.0052736843936145306,0.007479436695575714,22.760761260986328,21.261306762695312,0.9979187846183777,0.9999996423721313,500,43
18,0.005955837666988373,0.007981524802744389,22.241804122924805,20.979137420654297,0.9989909529685974,0.9999995827674866,500,45
19,0.003531575435772538,0.003287616651505232,24.49474334716797,24.831178665161133,0.9970601201057434,0.9999988675117493,500,60
20,0.005928403697907925,0.012273471802473068,22.244272232055664,19.110292434692383,0.9969710111618042,0.9999961853027344,500,36
21,0.004384368658065796,0.004670324735343456,23.577499389648438,23.306529998779297,0.9996050596237183,0.9999999403953552,500,49
22,0.005823382176458836,0.009368149563670158,22.33754539489746,20.283462524414062,0.9987685680389404,1.0,500,42
23,0.005958850029855967,0.007003354374319315,22.243852615356445,21.546937942504883,0.9994794130325317,0.9999999403953552,500,47
24,0.00641111982986331,0.010612115263938904,21.922529220581055,19.74197769165039,0.9990643858909607,0.9999997019767761,500,38
25,0.004056593403220177,0.006173956207931042,23.911663055419922,22.094356536865234,0.9992263913154602,0.9999991655349731,500,46
26,0.0052933706901967525,0.008747815154492855,22.738357543945312,20.58099937438965,0.9972039461135864,0.9999994039535522,500,35
27,0.005024862475693226,0.008301760070025921,22.98659324645996,20.808290481567383,0.9997508525848389,0.9999991059303284,500,36
28,0.0031121177598834038,0.0035184624139219522,25.057437896728516,24.536460876464844,0.9986193180084229,0.9999987483024597,500,59
29,0.0035083084367215633,0.004510154016315937,24.53853988647461,23.45806121826172,0.9987937808036804,0.9999969005584717,500,48
30,0.008932581171393394,0.013510648161172867,20.487598419189453,18.693239212036133,0.9996972680091858,0.9999999403953552,500,35
31,0.006480258423835039,0.012572884559631348,21.87298011779785,19.00564193725586,0.9987232089042664,0.9999991059303284,500,32
32,0.003362668678164482,0.00420772098004818,24.725439071655273,23.7595272064209,0.9991114735603333,0.9999998807907104,500,59
33,0.0031554936431348324,0.003968637902289629,24.99275779724121,24.013545989990234,0.9980943202972412,0.9999952912330627,500,72
34,0.003569254418835044,0.005265371408313513,24.46906280517578,22.785703659057617,0.9994059205055237,0.9999993443489075,500,45
35,0.004838176071643829,0.007707534823566675,23.148162841796875,21.130844116210938,0.9994222521781921,0.9999997615814209,500,37
36,0.003435548162087798,0.00426848791539669,24.58283805847168,23.697233200073242,0.993435800075531,0.9999970197677612,500,62
37,0.004013361409306526,0.005612110253423452,23.96036148071289,22.508724212646484,0.9994755983352661,0.9999984502792358,500,43
38,0.0029437916819006205,0.0037655436899513006,25.28413963317871,24.24165153503418,0.9969205260276794,0.9999915957450867,500,70
39,0.004184534307569265,0.006186258513480425,23.765453338623047,22.085716247558594,0.9979209899902344,0.9999996423721313,500,43
40,0.002446891972795129,0.004498553462326527,26.071197509765625,23.469179153442383,0.995101273059845,0.9999892711639404,500,41
41,0.005820332560688257,0.006713378243148327,22.335529327392578,21.730588912963867,0.9982755780220032,0.9999998211860657,500,50
42,0.007363345939666033,0.01207960769534111,21.303768157958984,19.179471969604492,0.9970706701278687,1.0,500,32
43,0.0028594122268259525,0.0040983399376273155,25.42555809020996,23.873916625976562,0.9986568093299866,0.999999463558197,500,57
44,0.004493054002523422,0.005521454382687807,23.46430778503418,22.579374313354492,0.9988177418708801,0.9999896287918091,500,37
45,0.00571322999894619,0.009856292977929115,22.413490295410156,20.062864303588867,0.9979650974273682,0.9999999403953552,500,35
46,0.001793747884221375,0.0014382961671799421,27.431238174438477,28.421451568603516,0.9964202642440796,0.9999924302101135,500,77
47,0.003638829570263624,0.006687933579087257,24.36343765258789,21.747041702270508,0.996902585029602,0.9999954700469971,500,38
48,0.003441040636971593,0.0038203385192900896,24.62886619567871,24.178979873657227,0.9995123147964478,0.9999997615814209,500,45
49,0.0022378882858902216,0.002839070511981845,26.46743392944336,25.46814727783203,0.99607253074646,0.9999896287918091,500,62
50,0.003085443517193198,0.00496735330671072,25.091081619262695,23.0386962890625,0.9981893301010132,0.9999938607215881,500,42
51,0.004960888531059027,0.007156960666179657,23.026735305786133,21.45271110534668,0.9979677796363831,0.9999998807907104,500,38
52,0.002905522705987096,0.004750305321067572,25.329069137573242,23.232742309570312,0.9955557584762573,0.9999951720237732,500,40
53,0.00405477499589324,0.006913668010383844,23.914648056030273,21.602907180786133,0.999345600605011,0.9999991059303284,500,45
54,0.004097262863069773,0.005648775026202202,23.8543643951416,22.480449676513672,0.9976199269294739,0.9999991059303284,500,49
55,0.006930411793291569,0.007954413071274757,21.586240768432617,20.993921279907227,0.9992901086807251,1.0000001192092896,500,53
56,0.00786904338747263,0.012558992020785809,21.03899574279785,19.010452270507812,0.9997944235801697,0.9999999403953552,500,36
57,0.006083886604756117,0.008545398712158203,22.13779067993164,20.682674407958984,0.997654378414154,0.9999998211860657,500,38
58,0.0031324410811066628,0.004498251248151064,25.038312911987305,23.469558715820312,0.9996711611747742,0.9999995231628418,500,46
59,0.00624897051602602,0.008799043484032154,22.030765533447266,20.555644989013672,0.9987172484397888,0.9999998807907104,500,38
60,0.003128340933471918,0.0038270517252385616,25.023365020751953,24.171262741088867,0.9972986578941345,0.9999891519546509,500,63
61,0.003296626964583993,0.005181257613003254,24.80343246459961,22.85560417175293,0.9981747269630432,0.9999950528144836,500,42
62,0.0027971575036644936,0.004219860304147005,25.492834091186523,23.74699592590332,0.995405912399292,0.9999971985816956,500,51
